sentiment,review,synonym_replacement,random_insertion,random_swap,random_deletion,paraphrase
neg, @ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . :) ,@ anonymous urf shezad .. breadbasket nay bhi to meri bohot izzat - afzaee ch'i thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... breadbasket mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . : ),@ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye breadbasket naam khud - ba qi - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . : ),@ anonymous urf shezad .. tum nay bhi to meri aur izzat - afzaee say thi bohot mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon ki darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . : ),@ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi mujhay bohot mayoos kiya tha jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss naam khud - ba - khud change .... khair .... bhi .... mujhay achay insaan lagtay ho .... iss jawab day rahi hoon ... main mardon say darti nahin hoon ... zayda ter ko to bohot na pasand kerti hoon . : ),kisi kam ka nahe hai Paraphrase the following text in Roman Urdu: Original: jo cpec pr shor dal rahay hain pak cat valium dushman hain Paraphrase the following text in Roman Urdu: Original: jo cpec praseodymium shor dal rahay hain pak cat valium dushman hain Paraphrase: kisi kam ka nahe hai
pos,ab hamin kon khilae ga bana kar balke hafsa q trkib ap ne likhi hai ap hi khlain gi ;) ,ab hamin kon khilae georgia bana kar balke hafsa q trkib ap ne likhi hai ap hawai'i khlain gi ; ),ab hamin kon khilae ga bana kar balke hafsa q type ab trkib ap ne likhi hai ap hi khlain gi georgia ; ),ab hamin kon khilae ga bana kar balke hafsa ) trkib ap ne likhi hai ap hi ; gi khlain q,ab hamin kon khilae ga bana kar balke hafsa q trkib ap ne likhi hai ap hi khlain gi ; ),Paraphrase the following text in Roman Urdu: Original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase: jo cpec praseodymium shor dal rahay hain pak cat valium dushman hain Paraphrase: kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original: ab hamin kon khi
pos,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati hy,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri ally omaha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati hy,fille muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati omaha hy,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri hy maha ko bhot achi patang uhdni atti hy friend ki patang cut ho jati sub,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy ki patang cut ho jati hy,kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original: muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati hy Paraphrase: kisi kam ka nahe hai Paraphrase: ki
neg,koi patwari issy btay agar sabit hoa tu yeh jail main hu gailzaam tu zardari py b sabit nahi hua sponsored links,koi patwari issy btay agar-agar sabit hoa tu yeh jail independent hu gailzaam tu zardari py b sabit nahi hua sponsored links,koi patwari issy btay agar sabit hoa tu yeh jail main hu gailzaam link up tu zardari py b sabit nahi hua primary sponsored links,koi hu hoa btay agar sabit issy tu yeh jail main patwari gailzaam tu zardari py b sabit nahi hua sponsored links,koi patwari btay agar sabit hoa tu yeh jail hu gailzaam tu zardari py b sabit hua sponsored links,jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase: kisi kam ka nahe hai Paraphrase the following text in Roman Urdu: Original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase: kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original: ko
neg,bhot acha hoa in ka sath asi hona chaiya tha lanti han ye ,bhot acha hoa indium ka sath asi hona chaiya tha lanti han dynasty ye,bhot acha hoa in ka sath asi hona chaiya tha lanti inward han inwards ye,in acha hoa bhot ka sath asi hona lanti tha chaiya han ye,bhot acha hoa in ka asi hona chaiya tha lanti han ye,: kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original: bhot acha hoa inka sath asi hona chaiya tha lanti han ye Paraphrase: kisi kam ka nahe hai Original: bhot acha hoa inka sath asi hona chaiya tha lanti han ye Para
neg,laanntiiii haramiii ganjaaa,laanntiiii haramiii ganjaaa,laanntiiii haramiii ganjaaa,haramiii ganjaaa laanntiiii,laanntiiii ganjaaa,Paraphrase the following text in Roman Urdu: Original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase the following text in Roman Urdu: Original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase: jo cpec praseodymium shor dal rahay hain pak cat valium du
neg,bakwas post,bakwas station,office bakwas post office,bakwas post,bakwas post,Paraphrase: kisi kam ka nahe hai Original: bakwas post Paraphrase: kisi kam ka nahe hai Original: bakwas post Paraphrase: kisi kam ka nahe hai Original: bakwas post Paraphrase: kisi kam ka nahe hai Original: bakwas post Paraphrase: kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Paraphrase: kisi kam ka
pos,jeet haq ki hogi,jeet haq ch'i hogi,jeet haq ki hogi ch'i qi,jeet hogi haq ki,jeet haq ki hogi,Paraphrase the following text in Roman Urdu: original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase: jo cpec praseodymium shor dal rahay hain pak cat valium dushman hain Paraphrase: kisi kam ka nahe hai Original: jeet haq ki hogi Paraphrase: kisi kam ka
neg,mera kaam kion ghyab ho gia is thread se ... :-? koi wajah hi bata de,mera kaam kion ghyab atomic number 67 gia is thread southeastward ... : - ? koi wajah hi bata de,mera kaam kion ghyab ho gia is atomic number 34 thread se southeast ... : - ? koi wajah hi bata de,gia kaam kion ghyab ho mera is : se ... thread - ? koi wajah hi bata de,mera kaam kion ghyab ho thread se ... : - ? koi wajah hi bata de,kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original: mera kaam kion ghyab ho gia is thread se... :-? koi wajah hi bata de Paraphrase: kisi kam ka nahe hai Original: mera kaam kion ghyab ho gia is thread se... :-? ko
pos,darya sind per jaga jaga dam banay jayn taka bijly ki pedawar barh saky aur mulk taraqi ker saky,darya sind per jaga jaga dam banay jayn taka bijly chi pedawar barh saky aur mulk taraqi one thousand saky,darya sind per jaga jaga dam ch'i banay jayn taka bijly dkm ki pedawar barh saky aur mulk taraqi ker saky,darya sind per mulk jaga dam banay jayn taka bijly ki pedawar barh jaga aur saky taraqi ker saky,darya sind per jaga dam jayn taka bijly ki pedawar barh saky aur mulk taraqi ker saky,Paraphrase the following text in Roman Urdu: original: jo cpec pr shor dal rahay hain pak k dushman hain Paraphrase the following text in Roman Urdu: jo cpec praseodymium shor dal rahay hain pak cat valium dushman hain Paraphrase: kisi kam ka nahe hai Paraphrase: kisi kam ka nahe hai Original:
